"Plot_Name","Network","Unit_Code","cycle","excludeEvent","SapPlotNum","SeedPlotNum","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"DEWA-092","ERMN","DEWA",3,0,4,4,0.666666666666667,0.145604294252195,0.545454545454545,0.803774598369061
"DEWA-096","ERMN","DEWA",1,0,4,4,0,1,0,1
"DEWA-096","ERMN","DEWA",2,0,4,4,0,1,0,1
"DEWA-096","ERMN","DEWA",3,0,4,4,0,1,0,1
"DEWA-101","ERMN","DEWA",1,0,4,4,0,0,0.25,0.593632416787265
"DEWA-101","ERMN","DEWA",2,0,4,4,0,0,0.333333333333333,0.620128056379184
"DEWA-101","ERMN","DEWA",3,0,4,4,0.666666666666667,0.0552147239263803,0.4,0.419743782969103
"DEWA-111","ERMN","DEWA",1,0,4,4,0.5,0.582220999036741,0.333333333333333,0.392591485067095
"DEWA-111","ERMN","DEWA",2,0,4,4,0.5,0.365400464523863,0.307692307692308,0.401070868697433
"DEWA-111","ERMN","DEWA",3,0,4,4,0.5,0.475228658536585,0.285714285714286,0.368463797129169
"DEWA-112","ERMN","DEWA",1,0,4,4,0.25,0.610044313146233,0.545454545454545,0.653342428376535
"DEWA-112","ERMN","DEWA",2,0,4,4,0.25,0.574468085106383,0.133333333333333,0.988775755632165
