"park","Network","metric","mean","lower95","upper95"
"PETE","MIDN","Sap_Dens_NatCan",0.087979465411372,0.0700604518697904,0.107032234950523
"RICH","MIDN","Sap_Dens_NatCan",0.0714833156467398,0.0427426011083599,0.10059250088433
"SAHI","NCBN","Sap_Dens_NatCan",0.0206343591557599,0.00294776559368,0.0353731871241599
"THST","NCBN","Sap_Dens_NatCan",0.0280037731399599,0.01326494517156,0.0456903667020399
"VAFO","MIDN","Sap_Dens_NatCan",0.0227399060083885,0.0151494096046625,0.0307515117826402
"ANTI","NCRN","Sap_Dens_NatCan",0.0371871967202706,0.0217681151533292,0.0517219486091081
"CATO","NCRN","Sap_Dens_NatCan",0.0122723302267493,0.00818155348449957,0.0168443748210285
"CHOH","NCRN","Sap_Dens_NatCan",0.0259403372243839,0.0177652006445781,0.0369492591282474
"GWMP","NCRN","Sap_Dens_NatCan",0.0442164839051999,0.0253507841056479,0.0660299492984317
"HAFE","NCRN","Sap_Dens_NatCan",0.0253507841056479,0.0135449829029595,0.0389105058365759
"MANA","NCRN","Sap_Dens_NatCan",0.0430026980725081,0.0145654299923011,0.0873925799538068
"MONO","NCRN","Sap_Dens_NatCan",0.0919702865228159,0.0125574814290768,0.239751601619307
"NACE","NCRN","Sap_Dens_NatCan",0.0513402507565932,0.0341449514601266,0.0754136697716464
