"term","estimate","lower95","upper95","num_boots","park","resp"
"c2_response",0.012622269742574,NA,NA,NA,"BLUE","Sap_Dens_ASITRI"
"c3_response",0.012366877855013,NA,NA,NA,"BLUE","Sap_Dens_ASITRI"
"Intercept",-0.0820753998375546,-0.242019167963864,0.0660398517407946,999,"BLUE","Seed_Dens_FRAX"
"Slope",0.31747292013962,0.178977573916179,0.49187930830806,999,"BLUE","Seed_Dens_FRAX"
"c1_response",0.235397520302066,0.0780588917663231,0.451210456692882,999,"BLUE","Seed_Dens_FRAX"
"c2_response",0.552870440441686,0.265777642104496,0.886643750353331,999,"BLUE","Seed_Dens_FRAX"
"c3_response",0.870343360581306,0.449146728478529,1.35562804334295,999,"BLUE","Seed_Dens_FRAX"
"Intercept",-0.00392252647661446,-0.0123681965619375,0.00347150599463559,1000,"BLUE","Seed_Dens_FAGGRA"
"Slope",0.00863955276425164,0.00327669457918169,0.0158375911817197,1000,"BLUE","Seed_Dens_FAGGRA"
"c1_response",0.00471702628763717,0.000946721353116932,0.0099947665927798,1000,"BLUE","Seed_Dens_FAGGRA"
"c2_response",0.0133565790518888,0.00625474838271413,0.0220905468898541,1000,"BLUE","Seed_Dens_FAGGRA"
"c3_response",0.0219961318161405,0.0103422917981132,0.0371635545286531,1000,"BLUE","Seed_Dens_FAGGRA"
"Intercept",0.00516197727451933,NA,NA,NA,"BLUE","Seed_Dens_TSUCAN"
"Slope",-0.00115955624882615,NA,NA,NA,"BLUE","Seed_Dens_TSUCAN"
"c1_response",0.00400242102569319,NA,NA,NA,"BLUE","Seed_Dens_TSUCAN"
"c2_response",0.00284286477686704,NA,NA,NA,"BLUE","Seed_Dens_TSUCAN"
"c3_response",0.00168330852804089,NA,NA,NA,"BLUE","Seed_Dens_TSUCAN"
"Intercept",0.0330064834435181,-0.00167350612938868,0.0864604834661222,1000,"BLUE","Seed_Dens_ASITRI"
"Slope",0.0210071766830627,0.00746911937557343,0.0368851101288121,1000,"BLUE","Seed_Dens_ASITRI"
"c1_response",0.0540136601265808,0.00742861992274256,0.114786485036458,1000,"BLUE","Seed_Dens_ASITRI"
"c2_response",0.0750208368096434,0.0154258069414597,0.146619031296079,1000,"BLUE","Seed_Dens_ASITRI"
"c3_response",0.0960280134927061,0.0243610045072948,0.178784275449158,1000,"BLUE","Seed_Dens_ASITRI"
"Intercept",1.3595362694265,0.757252741788689,2.05011064734987,1000,"DEWA","Tree_BA_FRAX"
"Slope",0.0404262027747842,-0.0353529336130477,0.131005781195474,1000,"DEWA","Tree_BA_FRAX"
"c1_response",1.39996247220129,0.784200075489388,2.13123241664686,1000,"DEWA","Tree_BA_FRAX"
"c2_response",1.44038867497607,0.779971027792396,2.19106548049808,1000,"DEWA","Tree_BA_FRAX"
"c3_response",1.48081487775086,0.788840637894233,2.28050126824862,1000,"DEWA","Tree_BA_FRAX"
"Intercept",0.188807913448805,0.0493343981249864,0.375619392161575,1000,"DEWA","Tree_BA_FAGGRA"
"Slope",0.0305570764369526,0.0145181206147921,0.0543389970711791,1000,"DEWA","Tree_BA_FAGGRA"
"c1_response",0.219364989885757,0.0687386437088705,0.430359715677249,1000,"DEWA","Tree_BA_FAGGRA"
"c2_response",0.24992206632271,0.0854405634872509,0.478987640924374,1000,"DEWA","Tree_BA_FAGGRA"
"c3_response",0.280479142759663,0.101201606024657,0.528567076447,1000,"DEWA","Tree_BA_FAGGRA"
"Intercept",NA,NA,NA,NA,"DEWA","Tree_BA_TSUCAN"
"Slope",NA,NA,NA,NA,"DEWA","Tree_BA_TSUCAN"
"c1_response",NA,NA,NA,NA,"DEWA","Tree_BA_TSUCAN"
"c2_response",NA,NA,NA,NA,"DEWA","Tree_BA_TSUCAN"
"c3_response",NA,NA,NA,NA,"DEWA","Tree_BA_TSUCAN"
"Intercept",NA,NA,NA,NA,"DEWA","Tree_BA_ASITRI"
"Slope",NA,NA,NA,NA,"DEWA","Tree_BA_ASITRI"
"c1_response",NA,NA,NA,NA,"DEWA","Tree_BA_ASITRI"
"c2_response",NA,NA,NA,NA,"DEWA","Tree_BA_ASITRI"
"c3_response",NA,NA,NA,NA,"DEWA","Tree_BA_ASITRI"
"Intercept",23.4541402295369,12.4452463343462,40.2689723605142,1000,"DEWA","Tree_Dens_FRAX"
"Slope",-1.53641374479787,-2.77394236325747,-0.488121545300707,1000,"DEWA","Tree_Dens_FRAX"
"c1_response",21.917726484739,11.6755659260766,37.4986597391579,1000,"DEWA","Tree_Dens_FRAX"
"c2_response",20.3813127399412,10.9072435195531,34.7259707003043,1000,"DEWA","Tree_Dens_FRAX"
"c3_response",18.8448989951433,10.1377838304573,31.9532816614507,1000,"DEWA","Tree_Dens_FRAX"
"Intercept",5.49796244641521,1.93907911950691,9.84111005289471,997,"DEWA","Tree_Dens_FAGGRA"
"Slope",0.349510225941391,0.0000694378857252419,0.768869272268371,997,"DEWA","Tree_Dens_FAGGRA"
"c1_response",5.8474726723566,2.26485246517919,10.156347429068,997,"DEWA","Tree_Dens_FAGGRA"
"c2_response",6.19698289829799,2.54008209225277,10.4966985185422,997,"DEWA","Tree_Dens_FAGGRA"
"c3_response",6.54649312423938,2.88834191064573,10.8501593182998,997,"DEWA","Tree_Dens_FAGGRA"
"Intercept",42.4252761430959,19.3592283668667,72.420475346615,1000,"DEWA","Tree_Dens_TSUCAN"
"Slope",-3.3513736043918,-6.79615878998052,-0.83218270897724,1000,"DEWA","Tree_Dens_TSUCAN"
"c1_response",39.0739025387041,18.362675708387,65.8866522447647,1000,"DEWA","Tree_Dens_TSUCAN"
"c2_response",35.7225289343123,17.1025099378425,60.127412174501,1000,"DEWA","Tree_Dens_TSUCAN"
"c3_response",32.3711553299205,15.8067375565719,53.9676316455308,1000,"DEWA","Tree_Dens_TSUCAN"
"Intercept",NA,NA,NA,NA,"DEWA","Tree_Dens_ASITRI"
"Slope",NA,NA,NA,NA,"DEWA","Tree_Dens_ASITRI"
"c1_response",NA,NA,NA,NA,"DEWA","Tree_Dens_ASITRI"
"c2_response",NA,NA,NA,NA,"DEWA","Tree_Dens_ASITRI"
