"Plot_Name","Network","Unit_Code","Year","cycle","lat_rank","excludeEvent","Tree_BA_FRAX","Tree_BA_FAGGRA","Tree_BA_TSUCAN","Tree_BA_ASITRI","Tree_Dens_FRAX","Tree_Dens_FAGGRA","Tree_Dens_TSUCAN","Tree_Dens_ASITRI","Sap_BA_FRAX","Sap_BA_FAGGRA","Sap_BA_TSUCAN","Sap_BA_ASITRI","Sap_Dens_FRAX","Sap_Dens_FAGGRA","Sap_Dens_TSUCAN","Sap_Dens_ASITRI","Seed_Dens_FRAX","Seed_Dens_FAGGRA","Seed_Dens_TSUCAN","Seed_Dens_ASITRI"
"BLUE-061","ERMN","BLUE",2011,1,6,0,0.236844998289782,0.401112049083371,0,0,14.1471060526129,14.1471060526129,0,0,0,0,0,0.363177207637231,0,0,0,0.0795544948289578,1.92919649960223,0,0,0.258552108194113
"BLUE-061","ERMN","BLUE",2015,2,6,0,0.260100608226943,0.431212119470264,0,0,14.1471060526129,14.1471060526129,0,0,0,0,0,0.617010739856802,0,0,0,0.0795544948289578,3.87828162291169,0,0,0.37788385043755
"BLUE-061","ERMN","BLUE",2019,3,6,0,0.291600681887645,0.673890464734251,0,0,14.1471060526129,28.2942121052258,0,0,0,0,0,0.741974940334129,0,0,0,0.0596658711217184,4.25616547334924,0,0,0.536992840095465
"BLUE-063","ERMN","BLUE",2008,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596658711217184,0,0,0
"BLUE-063","ERMN","BLUE",2012,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596658711217184,0,0,0
"BLUE-063","ERMN","BLUE",2016,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278440731901352,0.0198886237072395,0,0
"BLUE-071","ERMN","BLUE",2010,1,6,0,0.190678223665366,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.139220365950676,0,0,0
"BLUE-071","ERMN","BLUE",2014,2,6,0,0.208544932112072,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.397772474144789,0,0,0
"BLUE-071","ERMN","BLUE",2018,3,6,0,0.230400538775423,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.37788385043755,0,0,0
"BLUE-072","ERMN","BLUE",2011,1,6,0,0,2.42669456354311,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-072","ERMN","BLUE",2015,2,6,0,0,2.53445037107803,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-072","ERMN","BLUE",2019,3,6,0,0,2.62651725303661,0,0,0,28.2942121052258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-074","ERMN","BLUE",2010,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLUE-074","ERMN","BLUE",2014,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395
"BLUE-074","ERMN","BLUE",2018,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395
"BLUE-079","ERMN","BLUE",2018,3,6,0,0,1.0376913154569,0,0,0,28.2942121052258,56.5884242104517,0,0,0,0,0,0,0,0,0,0.278440731901352,0.0994431185361973,0,0.0397772474144789
"BLUE-083","ERMN","BLUE",2010,1,6,0,0,0,0,0,0,0,84.8826363156775,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0,0
"BLUE-083","ERMN","BLUE",2014,2,6,0,0,0,0,0,0,0,42.4413181578388,0,0,0,0,0,0,0,0,0,0.0397772474144789,0,0,0
"BLUE-083","ERMN","BLUE",2018,3,6,0,0,0,0,0,0,0,14.1471060526129,0,0,0,0,0,0,0,0,0,0.0397772474144789,0,0,0
"BLUE-088","ERMN","BLUE",2010,1,6,0,0,0.480712235222797,0,0,0,14.1471060526129,14.1471060526129,0,0,0,0,0,0,0,0,0,0.0198886237072395,0,0,0
"BLUE-088","ERMN","BLUE",2014,2,6,0,0,0.49937894554025,0,0,0,14.1471060526129,14.1471060526129,0,0,0,0,0,0,0,0,0,0,0,0.0198886237072395,0
"BLUE-089","ERMN","BLUE",2008,1,6,0,3.63174182590566,1.25794738606576,0,0,113.176848420903,56.5884242104517,0,0,0,0,0,0.128869331742243,0,0,0,0.0795544948289578,0.198886237072395,0,0,0.417661097852029
"BLUE-089","ERMN","BLUE",2012,2,6,0,3.83543119110777,1.31908086235542,0,0,113.176848420903,56.5884242104517,0,0,0,0,0,0.13277446300716,0,0,0,0.0397772474144789,0.218774860779634,0,0,0.73587907716786
