"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"c2_response",3.88101038182921,0.389218825666183,8.31868283090558,984,"ALPO","tree_20cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",2.9237043043627,-0.211150836606151,7.26061837714343,984,"ALPO","tree_20cm_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",112.234210380932,87.2729506465867,138.10501924071,1000,"ALPO","tree_20cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-4.89291761584778,-9.33974983652546,-0.589462752192308,1000,"ALPO","tree_20cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",107.341292765084,83.53392582102,131.455995575475,1000,"ALPO","tree_20cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",102.448375149236,78.6828545269239,126.014693126307,1000,"ALPO","tree_20cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",97.5554575333883,73.2056361918798,123.138770569715,1000,"ALPO","tree_20cm_Dens_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",13.2191205557221,5.26731198897361,26.5854456752702,868,"ALPO","tree_20cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.630302069764231,-1.9272586746449,0.00431576107210545,868,"ALPO","tree_20cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",12.5888184859578,4.55887313430054,25.621816076459,868,"ALPO","tree_20cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",11.9585164161936,3.9279625222246,24.8144829721089,868,"ALPO","tree_20cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",11.3282143464294,3.32429337988321,24.2588606420015,868,"ALPO","tree_20cm_Dens_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",131.240050847706,102.619627151517,159.300870662552,1000,"ALPO","tree_20cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-6.47384879379012,-11.1655571681146,-2.29504451812217,1000,"ALPO","tree_20cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",124.766202053916,98.3486153937638,150.315353681669,1000,"ALPO","tree_20cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",118.292353260126,93.2213588839388,142.544588085816,1000,"ALPO","tree_20cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",111.818504466336,86.9656697080862,135.234582820327,1000,"ALPO","tree_20cm_Dens_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",NA,NA,NA,NA,"ALPO","tree_30cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",NA,NA,NA,NA,"ALPO","tree_30cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",NA,NA,NA,NA,"ALPO","tree_30cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",NA,NA,NA,NA,"ALPO","tree_30cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",NA,NA,NA,NA,"ALPO","tree_30cm_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",6.79947548674576,5.00905034905574,8.79855245006826,1000,"ALPO","tree_30cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",0.262673169624325,-0.174923315217056,0.704537348027257,1000,"ALPO","tree_30cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",7.06214865637008,5.46579916591519,8.94367144611592,1000,"ALPO","tree_30cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",7.32482182599441,5.68007312136069,9.22205591678007,1000,"ALPO","tree_30cm_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
